,tlvorig,origin,topcl,toadtyp,tarorig,household_id,person_id,day,tour_type,destination,tdpcl,tdadtyp,tripsh1,tripsh2,tlvdest,tardest,tour_id,subtrs,parent_tour_id,tour_mode,tdtaz,tour_category,start,end,mandatory_status,tour_type_num,tour_type_id,loc_tour_id,PNUM,joint_tour,participant_num,outbound_stops,inbound_stops,stop_frequency
1386,687,52108,505146.0,Home,75,17153336,1715333602,3,work,48373.0,540223.0,other,9,8,1090,75,1390,0,0,WALK_LOC,,mandatory,11.0,11.0,mandatory,1,39,work1,2,1387.0,2,8,7,8out_7in
1394,941,24284,996165.0,Home,1047,17153443,1715344301,3,eatout,4141.0,1118376.0,other,5,2,993,1047,1399,0,0,DRIVEALONEFREE,,non_mandatory,15.0,15.0,non_mandatory,1,6,eatout1,1,1395.0,1,4,1,4out_1in
1521,668,45814,215254.0,Home,73,191003048,19100304801,3,social,10540.0,730851.0,other,6,2,1109,73,1526,0,0,WALK_FRY,,non_mandatory,11.0,11.0,non_mandatory,1,36,social1,1,1522.0,1,5,1,5out_1in
1583,475,20471,1034002.0,Home,1403,191004329,19100432901,3,work,25320.0,69951.0,Work,1,6,475,1403,1588,0,0,DRIVEALONEFREE,,mandatory,7.0,7.0,mandatory,1,39,work1,1,1584.0,1,0,5,0out_5in
1594,378,24333,896566.0,Home,1042,191004434,19100443401,3,work,25303.0,1190424.0,other,1,7,378,1042,1599,0,0,SHARED3FREE,,mandatory,6.0,6.0,mandatory,1,39,work1,1,1595.0,1,0,6,0out_6in
1612,440,33323,983384.0,Home,1145,191005103,19100510301,3,work,146.0,148670.0,Work,1,5,440,1145,1617,0,0,SHARED2FREE,,mandatory,7.0,7.0,mandatory,1,39,work1,1,1613.0,1,0,4,0out_4in
1658,573,13684,1111616.0,Home,1097,191006337,19100633701,3,social,12656.0,487439.0,other,1,6,573,1097,1662,0,0,WALK_LR,,non_mandatory,9.0,9.0,non_mandatory,1,36,social1,1,1659.0,1,0,5,0out_5in
1673,499,16213,1163207.0,Home,998,191006673,19100667302,3,school,21641.0,487440.0,other,1,6,499,998,1678,0,0,SHARED2FREE,,mandatory,8.0,8.0,mandatory,1,31,school1,2,1674.0,2,0,5,0out_5in
1679,611,29659,971345.0,Home,1347,191006802,19100680201,3,social,20625.0,1029822.0,other,9,1,1137,1347,1684,0,0,WALK,,non_mandatory,10.0,10.0,non_mandatory,1,36,social1,1,1680.0,1,8,0,8out_0in
1710,500,25053,766072.0,Home,953,191007249,19100724902,3,social,23366.0,712138.0,other,6,1,773,953,1716,0,0,DRIVEALONEFREE,,non_mandatory,8.0,8.0,non_mandatory,1,36,social1,2,1711.0,2,5,0,5out_0in
1727,510,36911,337717.0,Home,1144,191007500,19100750005,3,social,36911.0,278782.0,other,2,5,751,1144,1733,0,0,SHARED3FREE,,non_mandatory,8.0,8.0,non_mandatory,1,36,social1,5,1728.0,5,1,4,1out_4in
1738,560,24029,968212.0,Home,1133,191007778,19100777801,3,work,9235.0,768812.0,other,6,1,813,1133,1744,0,0,DRIVEALONEFREE,,mandatory,9.0,9.0,mandatory,1,39,work1,1,1739.0,1,5,0,5out_0in
1740,462,1216,1117988.0,Home,1147,191007908,19100790801,3,work,28239.0,804487.0,other,6,2,797,1147,1746,0,0,DRIVEALONEFREE,,mandatory,7.0,7.0,mandatory,1,39,work1,1,1741.0,1,5,1,5out_1in
1791,742,46939,196801.0,Home,1077,191008857,19100885701,3,othmaint,37322.0,528942.0,other,3,5,759,1077,1798,0,0,SHARED2FREE,,non_mandatory,12.0,12.0,non_mandatory,1,28,othmaint1,1,1792.0,1,2,4,2out_4in
1824,361,55533,1054428.0,Home,1019,191009613,19100961301,3,work,21307.0,661614.0,other,5,2,787,1019,1830,0,0,WALK_LOC,,mandatory,6.0,6.0,mandatory,1,39,work1,1,1825.0,1,4,1,4out_1in
1830,600,57067,926744.0,Home,756,191009787,19100978702,3,shopping,61700.0,609579.0,other,5,2,685,756,1836,0,0,DRIVEALONEFREE,,non_mandatory,10.0,10.0,non_mandatory,1,33,shopping1,2,1831.0,2,4,1,4out_1in
1847,453,29391,1192390.0,Home,1214,191010036,19101003601,3,work,14189.0,964353.0,other,3,5,577,1214,1853,0,0,WALK_LR,,mandatory,7.0,7.0,mandatory,1,39,work1,1,1848.0,1,2,4,2out_4in
1861,525,30750,666415.0,Home,1202,191010429,19101042902,3,work,14942.0,62967.0,other,6,4,796,1202,1867,0,0,BIKE,,mandatory,8.0,8.0,mandatory,1,39,work1,2,1862.0,2,5,3,5out_3in
1872,354,3248,1118666.0,Home,765,191011182,19101118202,3,work,28344.0,1863.0,other,6,1,616,765,1878,0,0,WALK_FRY,,mandatory,5.0,5.0,mandatory,1,39,work1,2,1873.0,2,5,0,5out_0in
1890,615,31548,1001298.0,Home,1119,191011688,19101168802,3,work,15099.0,908203.0,other,5,1,866,1119,1897,0,0,DRIVEALONEFREE,,mandatory,10.0,10.0,mandatory,1,39,work1,2,1891.0,2,4,0,4out_0in
1903,727,41395,349024.0,Home,1430,191012019,19101201903,3,shopping,9766.0,1081876.0,other,7,1,1117,1430,1909,0,0,DRIVEALONEFREE,,non_mandatory,12.0,12.0,non_mandatory,1,33,shopping1,3,1904.0,3,6,0,6out_0in
1919,1033,46658,358857.0,Home,1238,191012230,19101223001,3,othmaint,43606.0,304070.0,other,2,5,1040,1238,1926,0,0,DRIVEALONEFREE,,non_mandatory,17.0,17.0,non_mandatory,2,29,othmaint2,1,1920.0,1,1,4,1out_4in
1922,411,17049,1271458.0,Home,943,191012259,19101225902,3,work,343.0,23849.0,other,8,1,742,943,1928,0,0,SHARED3FREE,,mandatory,6.0,6.0,mandatory,1,39,work1,2,1923.0,2,7,0,7out_0in
1955,673,51206,506668.0,Home,1133,191013331,19101333101,3,eatout,52676.0,228256.0,other,6,2,981,1133,1963,0,0,SHARED3FREE,,non_mandatory,11.0,11.0,non_mandatory,1,6,eatout1,1,1956.0,1,5,1,5out_1in
1958,320,51206,506668.0,Home,977,191013331,19101333102,3,work,37054.0,214267.0,other,2,8,402,977,1964,0,0,DRIVEALONEFREE,,mandatory,5.0,5.0,mandatory,1,39,work1,2,1959.0,2,1,7,1out_7in
1959,338,37465,404216.0,Home,1217,191013345,19101334501,3,work,11060.0,697183.0,other,3,5,462,1217,1965,0,0,WALK_FRY,,mandatory,5.0,5.0,mandatory,1,39,work1,1,1960.0,1,2,4,2out_4in
2008,453,54864,300233.0,Home,712,191014477,19101447702,3,social,54864.0,300233.0,other,3,5,463,712,2014,0,0,SHARED3FREE,,non_mandatory,7.0,7.0,non_mandatory,1,36,social1,2,2009.0,2,2,4,2out_4in
2041,513,21307,701.0,Home,1323,191015446,19101544602,3,work,21190.0,935063.0,other,1,5,513,1323,2047,0,0,WALK_LOC,,mandatory,8.0,8.0,mandatory,1,39,work1,2,2042.0,2,0,4,0out_4in
2081,656,17042,788215.0,Home,1167,191016494,19101649402,3,work,30128.0,1182429.0,other,8,1,859,1167,2087,0,0,DRIVEALONEFREE,,mandatory,10.0,10.0,mandatory,1,39,work1,2,2082.0,2,7,0,7out_0in
2113,508,4354,1222059.0,Home,1042,191017055,19101705501,3,social,27219.0,944773.0,other,3,5,633,1042,2119,0,0,DRIVEALONEFREE,,non_mandatory,8.0,8.0,non_mandatory,1,36,social1,1,2114.0,1,2,4,2out_4in
2117,490,4369,701185.0,Home,1008,191017090,19101709002,3,work,13669.0,1152712.0,other,1,5,490,1008,2124,0,0,SHARED2FREE,,mandatory,8.0,8.0,mandatory,1,39,work1,2,2118.0,2,0,4,0out_4in
2128,415,34099,1213313.0,Home,968,191017573,19101757301,3,work,59970.0,129389.0,other,5,1,654,968,2135,0,0,DRIVEALONEFREE,,mandatory,6.0,6.0,mandatory,1,39,work1,1,2129.0,1,4,0,4out_0in
2136,283,5917,771627.0,Home,1015,191017603,19101760301,3,work,19132.0,1153408.0,other,3,5,519,1015,2143,0,0,DRIVEALONEFREE,,mandatory,5.0,5.0,mandatory,1,39,work1,1,2137.0,1,2,4,2out_4in
2172,625,30114,1267329.0,Home,876,191018186,19101818602,3,othmaint,33333.0,1000709.0,other,1,7,625,876,2178,0,0,DRIVEALONEFREE,,non_mandatory,10.0,10.0,non_mandatory,1,28,othmaint1,2,2173.0,2,0,6,0out_6in
2225,389,5859,1182475.0,Home,727,191019490,19101949001,3,work,22352.0,713852.0,Work,2,6,431,727,2232,0,0,WALK_LOC,,mandatory,6.0,6.0,mandatory,1,39,work1,1,2226.0,1,1,5,1out_5in
2226,472,37924,482811.0,Home,1105,191019514,19101951401,3,work,38463.0,521748.0,Work,1,5,472,1105,2233,0,0,DRIVEALONEFREE,,mandatory,7.0,7.0,mandatory,1,39,work1,1,2227.0,1,0,4,0out_4in
2256,563,27223,740952.0,Home,1025,191020089,19102008902,3,escort,21668.0,893874.0,other,2,5,566,1025,2263,0,0,WALK_LR,,non_mandatory,9.0,9.0,non_mandatory,1,9,escort1,2,2257.0,2,1,4,1out_4in
2266,428,7635,150052.0,Home,1020,191020412,19102041201,3,work,12577.0,610553.0,Work,1,12,428,1020,2273,0,0,WALK_LR,,mandatory,7.0,7.0,mandatory,1,39,work1,1,2267.0,1,0,11,0out_11in
2275,621,13353,1247464.0,Home,1031,191020612,19102061202,3,work,26886.0,128234.0,other,6,1,860,1031,2283,0,0,DRIVEALONEFREE,,mandatory,10.0,10.0,mandatory,2,40,work2,2,2276.0,2,5,0,5out_0in
2288,506,11596,19429.0,Home,1000,191020747,19102074702,3,social,3632.0,1117132.0,other,5,1,672,1000,2294,0,0,WALK_LOC,,non_mandatory,8.0,8.0,non_mandatory,1,36,social1,2,2289.0,2,4,0,4out_0in
2382,755,16227,84320.0,Home,1271,191022809,19102280902,3,school,27207.0,862506.0,other,1,5,755,1271,2391,0,0,WALK_LOC,,mandatory,12.0,12.0,mandatory,1,31,school1,2,2383.0,2,0,4,0out_4in
2400,240,24799,148740.0,Home,1116,191023322,19102332201,3,social,24799.0,102011.0,other,5,4,541,1116,2408,0,0,WALK_LOC,,non_mandatory,5.0,5.0,non_mandatory,1,36,social1,1,2401.0,1,4,3,4out_3in
2413,456,18117,1060829.0,Home,1051,191024245,19102424501,3,work,1997.0,777382.0,Work,1,5,456,1051,2421,0,0,BIKE,,mandatory,7.0,7.0,mandatory,1,39,work1,1,2414.0,1,0,4,0out_4in
2429,694,7164,1211052.0,Home,887,191024526,19102452601,3,othmaint,12926.0,777127.0,other,5,2,754,887,2437,0,0,DRIVEALONEFREE,,non_mandatory,11.0,11.0,non_mandatory,1,28,othmaint1,1,2430.0,1,4,1,4out_1in
2438,538,2896,1020383.0,Home,1172,191024571,19102457101,3,work,30664.0,1118477.0,Work,1,5,538,1172,2446,0,0,BIKE,,mandatory,8.0,8.0,mandatory,1,39,work1,1,2439.0,1,0,4,0out_4in
2467,540,18817,908075.0,Home,1240,191025047,19102504701,3,work,43754.0,425828.0,other,7,1,1000,1240,2477,0,0,DRIVEALONEFREE,,mandatory,9.0,9.0,mandatory,1,39,work1,1,2468.0,1,6,0,6out_0in
2516,635,18817,943486.0,Home,1035,191026618,19102661802,3,work,25837.0,773652.0,other,1,5,635,1035,2524,0,0,DRIVEALONEFREE,,mandatory,10.0,10.0,mandatory,1,39,work1,2,2517.0,2,0,4,0out_4in
2542,451,25925,893874.0,Home,1046,191027501,19102750101,3,work,4159.0,1096205.0,Work,1,5,451,1046,2550,0,0,WALK,,mandatory,7.0,7.0,mandatory,1,39,work1,1,2543.0,1,0,4,0out_4in
2604,417,1480,1180317.0,Home,1137,191028956,19102895601,3,work,48740.0,568733.0,other,8,3,805,1137,2612,0,0,SHARED2FREE,,mandatory,6.0,6.0,mandatory,1,39,work1,1,2605.0,1,7,2,7out_2in
2605,582,20614,1177710.0,Home,937,191029037,19102903701,3,school,27209.0,857703.0,other,6,1,783,937,2613,0,0,WALK_LOC,,mandatory,9.0,9.0,mandatory,1,31,school1,1,2606.0,1,5,0,5out_0in
2693,717,10824,584108.0,Home,1065,191030597,19103059701,3,social,26386.0,1021768.0,other,2,5,772,1065,2702,0,0,WALK_LOC,,non_mandatory,11.0,11.0,non_mandatory,1,36,social1,1,2694.0,1,1,4,1out_4in
2694,470,10824,584108.0,Home,1239,191030597,19103059703,3,school,4416.0,782102.0,other,1,6,470,1239,2703,0,0,WALK_LOC,,mandatory,7.0,7.0,mandatory,1,31,school1,3,2695.0,3,0,5,0out_5in
2695,383,27803,1245052.0,Home,1080,191030701,19103070101,3,work,23243.0,13257.0,other,2,6,393,1080,2704,0,0,SHARED3FREE,,mandatory,6.0,6.0,mandatory,1,39,work1,1,2696.0,1,1,5,1out_5in
2710,464,16192,1107412.0,Home,1231,191031376,19103137601,3,work,11084.0,754779.0,Work,1,6,464,1231,2719,0,0,BIKE,,mandatory,7.0,7.0,mandatory,1,39,work1,1,2711.0,1,0,5,0out_5in
2784,494,25627,585310.0,Home,1067,191032787,19103278702,3,work,10538.0,695867.0,other,5,2,797,1067,2793,0,0,SHARED3FREE,,mandatory,8.0,8.0,mandatory,1,39,work1,2,2785.0,2,4,1,4out_1in
2847,515,9832,1246206.0,Home,993,191035109,19103510901,3,work,23258.0,1160215.0,other,2,5,599,993,2856,0,0,WALK_LOC,,mandatory,8.0,8.0,mandatory,1,39,work1,1,2848.0,1,1,4,1out_4in
2850,1046,21959,915527.0,Home,1431,191035184,19103518401,3,social,12097.0,794915.0,other,1,7,1046,1431,2859,0,0,SHARED2FREE,,non_mandatory,17.0,17.0,non_mandatory,1,36,social1,1,2851.0,1,0,6,0out_6in
2867,510,6651,710869.0,Home,1301,191036091,19103609101,3,school,3389.0,857703.0,other,5,2,879,1301,2876,0,0,WALK_LOC,,mandatory,8.0,8.0,mandatory,1,31,school1,1,2868.0,1,4,1,4out_1in
2880,460,7735,833063.0,Home,1049,191036345,19103634501,3,work,23358.0,1015503.0,Work,1,5,460,1049,2889,0,0,WALK_LOC,,mandatory,7.0,7.0,mandatory,1,39,work1,1,2881.0,1,0,4,0out_4in
2906,532,9780,1034063.0,Home,1224,191037257,19103725701,3,work,7118.0,689012.0,Work,1,6,1084,565,2915,1,0,DRIVEALONEFREE,,mandatory,8.0,8.0,mandatory,1,39,work1,1,2907.0,1,0,5,0out_5in
2929,428,18580,609482.0,Home,1001,191037663,19103766301,3,work,19365.0,885035.0,other,6,1,804,1001,2938,0,0,DRIVEALONEFREE,,mandatory,7.0,7.0,mandatory,1,39,work1,1,2930.0,1,5,0,5out_0in
2930,690,59293,1242771.0,Home,1412,191037722,19103772201,3,work,31955.0,1019683.0,other,6,1,843,1412,2939,0,0,DRIVEALONEFREE,,mandatory,11.0,11.0,mandatory,1,39,work1,1,2931.0,1,5,0,5out_0in
2963,526,38692,220727.0,Home,660,191038305,19103830502,3,shopping,36081.0,528652.0,other,5,1,625,660,2971,0,0,SHARED3FREE,,joint,8.0,8.0,non_mandatory,1,33,shopping1,2,2969.0,2,4,0,4out_0in
2986,520,21330,591153.0,Home,1067,191038667,19103866702,3,work,24308.0,56670.0,other,5,3,812,1067,2996,0,0,SHARED3FREE,,mandatory,8.0,8.0,mandatory,1,39,work1,2,2987.0,2,4,2,4out_2in
3018,569,8745,601855.0,Home,938,191040028,19104002801,3,shopping,31676.0,1137573.0,other,5,1,767,938,3026,0,0,WALK_LR,,non_mandatory,9.0,9.0,non_mandatory,2,34,shopping2,1,3019.0,1,4,0,4out_0in
3024,628,26150,748005.0,Home,1283,191040319,19104031901,3,school,3390.0,857703.0,other,6,1,944,1283,3034,0,0,WALK_LOC,,mandatory,10.0,10.0,mandatory,1,31,school1,1,3025.0,1,5,0,5out_0in
3036,518,5410,1275910.0,Home,1108,191041251,19104125101,3,eatout,33452.0,1152332.0,other,5,1,764,1108,3045,0,0,DRIVEALONEFREE,,non_mandatory,8.0,8.0,non_mandatory,1,6,eatout1,1,3037.0,1,4,0,4out_0in
